Benchmark,Device,Device Name,Key,Word,BlockBits,NumInputs,FilterSizeMB,PatternBitsPerWord,Skipped,HBWPeak,L2HitRate,Samples,Samples,CPU Time (sec),Noise,GPU Time (sec),Noise,Elem/s (elem/sec)
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,32,1000000000,1,1,Yes,,,,,,,,,
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,32,1000000000,2,1,Yes,,,,,,,,,
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,32,1000000000,4,1,Yes,,,,,,,,,
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,32,1000000000,8,1,Yes,,,,,,,,,
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,32,1000000000,16,1,Yes,,,,,,,,,
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,32,1000000000,32,1,Yes,,,,,,,,,
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,32,1000000000,64,1,Yes,,,,,,,,,
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,32,1000000000,128,1,Yes,,,,,,,,,
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,32,1000000000,256,1,Yes,,,,,,,,,
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,32,1000000000,512,1,Yes,,,,,,,,,
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,32,1000000000,1024,1,Yes,,,,,,,,,
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,32,1000000000,2048,1,Yes,,,,,,,,,
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,32,1000000000,1,20,Yes,,,,,,,,,
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,32,1000000000,2,20,Yes,,,,,,,,,
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,32,1000000000,4,20,Yes,,,,,,,,,
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,32,1000000000,8,20,Yes,,,,,,,,,
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,32,1000000000,16,20,Yes,,,,,,,,,
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,32,1000000000,32,20,Yes,,,,,,,,,
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,32,1000000000,64,20,Yes,,,,,,,,,
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,32,1000000000,128,20,Yes,,,,,,,,,
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,32,1000000000,256,20,Yes,,,,,,,,,
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,32,1000000000,512,20,Yes,,,,,,,,,
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,32,1000000000,1024,20,Yes,,,,,,,,,
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,32,1000000000,2048,20,Yes,,,,,,,,,
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,64,1000000000,1,1,No,0.1195055296535683,0.705017676236986,2,57,0.00877933036842105,0.0001311035125647955,0.00877261305691903,0.00012542704291589084,113991121403.82072
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,64,1000000000,2,1,No,0.11902790312567939,0.721055949668213,2,57,0.00882428759649123,0.00013668719919317083,0.008817944125125281,0.0001189255956399354,113405118677.34164
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,64,1000000000,4,1,No,0.11864474135689522,0.7231128883491122,2,57,0.008846226596491228,0.00013904332252314593,0.008839762553834075,0.0001322298833895266,113125210537.04881
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,64,1000000000,8,1,No,0.11855243877343029,0.7269063898583762,2,57,0.008858252192982455,0.00011983427314932807,0.008851966289051792,0.00011179769296679368,112969250824.73607
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,64,1000000000,16,1,No,0.11846014674668194,0.7306497754381585,2,57,0.008865479807017544,0.00017877579427855067,0.008859075897618347,0.00015354770270651144,112878590448.56334
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,64,1000000000,32,1,No,0.1186126428720467,0.7359239528197241,2,57,0.008882102578947367,0.00039629395882135465,0.008875866354557505,0.00040356019226176013,112665058266.28726
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,64,1000000000,64,1,No,0.26488281812360737,0.5051011476965791,2,51,0.009865041705882352,0.00012121068100118317,0.009858414986554315,0.00010222782459274123,101436184352.54338
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,64,1000000000,128,1,No,0.7283860279880727,0.22517621769673915,2,45,0.011124148244444446,0.0006677052730223093,0.011117125066121421,0.0006675368507420069,89951313316.37373
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,64,1000000000,256,1,No,0.8233570660499953,0.11129491603608996,2,35,0.014665837714285715,0.00029975513152985853,0.0146590546471732,0.0002992008072854772,68217223011.22852
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,64,1000000000,512,1,No,0.7713053123885216,0.07488441681142681,2,28,0.018029472714285715,0.003431933963333342,0.018022401332855226,0.0034282152165884504,55486501578.28738
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,64,1000000000,1024,1,No,0.7035609410124859,0.07212148966751498,2,25,0.020248183520000004,0.00011795001545649473,0.020240961074829103,0.00010922743659191495,49404768691.71802
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,64,1000000000,2048,1,No,0.6304720351120146,0.08649656666175813,2,24,0.021715255458333336,9.171032744831186e-05,0.021707774718602496,9.005239725739577e-05,46066444532.56875
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,64,1000000000,1,20,No,0.04549911121130834,0.7084525905261403,2,22,0.023115071545454544,6.120272402563688e-05,0.023107732339338823,4.887895132178196e-05,43275557519.66152
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,64,1000000000,2,20,No,0.045478329400041394,0.722598690235245,2,22,0.023128231045454542,7.557481580356033e-05,0.023120944109829986,6.608425127766209e-05,43250828999.445786
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,64,1000000000,4,20,No,0.045450074215814144,0.7343397416159041,2,22,0.02313540390909091,6.696801121449511e-05,0.023128053665161134,6.677155790883141e-05,43237533710.25538
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,64,1000000000,8,20,No,0.045447963704178675,0.751461714938523,2,22,0.023138217500000002,4.2105622503889166e-05,0.02313067626953125,3.65372559893614e-05,43232631348.4074
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,64,1000000000,16,20,No,0.04546079082599875,0.782735429627765,2,22,0.02314221559090909,0.0002600819433349591,0.023134341933510518,0.0002491656491279428,43225781086.579414
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,64,1000000000,32,20,No,0.04561541425207826,0.8432775269193479,2,22,0.023149996954545452,5.8177597574298904e-05,0.02314251787012274,5.381026633567574e-05,43210510006.39008
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,64,1000000000,64,20,No,0.10940629129077532,0.6235020206055951,2,22,0.023709683863636366,5.2613894254284195e-05,0.02370244216918945,3.640367139561054e-05,42189745379.9039
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,64,1000000000,128,20,No,0.34109516752541374,0.33109069676836,2,21,0.024026532238095238,0.0003049642645571836,0.024018869400024418,0.00029448382798437296,41633933027.62966
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,64,1000000000,256,20,No,0.5078283574932823,0.24535979891971832,2,21,0.02422140519047619,0.00015221118543380822,0.02421408299037388,0.0001568200220435177,41298280855.71286
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,64,1000000000,512,20,No,0.49831382032435534,0.25786964136339824,2,21,0.02456655142857143,8.825106758069307e-05,0.024559146608625137,8.242539110241274e-05,40718027215.52228
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,64,1000000000,1024,20,No,0.45259425357589045,0.26294513723601154,2,20,0.02505069855,5.609274534790192e-05,0.025043247985839838,6.089593831444539e-05,39930922720.784
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,64,1000000000,2048,20,No,0.4411041634594114,0.24723056243640038,2,19,0.026494078684210533,0.02209096308108592,0.026486568651701275,0.022092934341250946,37754984918.96074
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,128,1000000000,1,1,No,0.0467580835889013,0.7253922200723131,2,23,0.022422975478260866,0.00011306488810687443,0.022415700995403787,0.00010194805625689424,44611587217.59557
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,128,1000000000,2,1,No,0.046637031818919844,0.7578285354769061,2,23,0.022441481434782612,6.869204095089616e-05,0.0224341576617697,5.259813725279243e-05,44574885096.047585
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,128,1000000000,4,1,No,0.04648005590795105,0.8071866398692272,2,23,0.022464281304347827,0.0029295637931339045,0.022456933477650518,0.0029357724008507126,44529677259.59625
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,128,1000000000,8,1,No,0.04609746036340077,0.9004376217497846,2,23,0.022456305739130437,5.555447258746144e-05,0.022448823845904804,5.085864954935313e-05,44545763593.865234
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,128,1000000000,16,1,No,0.04545377120841541,1.0833634336522804,2,23,0.022459917217391306,5.712864395844841e-05,0.022452549395353894,4.450450963264015e-05,44538372119.4231
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,128,1000000000,32,1,No,0.04494870098701306,1.4245859419897071,2,23,0.02247774426086957,5.7825055376500114e-05,0.022470446047575577,4.8137438210613355e-05,44502899403.18714
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,128,1000000000,64,1,No,0.09597570439004302,1.1181777306300646,2,22,0.023705966000000002,6.112163222817851e-05,0.023698705413124778,5.6148217763614336e-05,42196397759.60849
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,128,1000000000,128,1,No,0.32414274520512826,0.5930730243208842,2,21,0.024279573761904767,6.696566405078693e-05,0.024272028968447733,6.35135259813269e-05,41199687150.173706
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,128,1000000000,256,1,No,0.46600315623910127,0.3939067991610765,2,21,0.02484500728571429,0.00010576750910316301,0.02483725584120977,7.525203676406722e-05,40262096843.27558
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,128,1000000000,512,1,No,0.4628439735378363,0.30553082221721234,2,20,0.025871238,9.23409151978278e-05,0.025863849639892578,8.920505167625594e-05,38664004543.91728
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,128,1000000000,1024,1,No,0.4503941478497038,0.2635765270748061,2,19,0.02667738963157895,0.0027015116841540582,0.02666988463150828,0.0026903840096561345,37495475282.95574
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,128,1000000000,2048,1,No,0.4429096417912771,0.2433189410496345,2,19,0.027204296631578948,0.0001395930955621013,0.027196387541921517,0.00013389397124795237,36769589286.75961
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,128,1000000000,1,20,No,0.010040536032522472,0.7080352237434169,2,11,0.10501917981818182,2.152119050327348e-05,0.10500863786177202,1.7378924562481735e-05,9523026108.731632
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,128,1000000000,2,20,No,0.010042408343311821,0.7208287927756271,2,11,0.10500572645454546,2.2634693639223737e-05,0.10499547230113637,2.073443374381979e-05,9524220217.152897
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,128,1000000000,4,20,No,0.010042357569886685,0.7301614527564797,2,11,0.10499591109090911,1.9632632954310744e-05,0.10498666659268463,1.8928030313817868e-05,9525019056.750193
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,128,1000000000,8,20,No,0.010053073368299283,0.7410167035304426,2,11,0.10502724954545455,0.000916916836913054,0.10501706487482242,0.0009152671039809273,9522261940.87574
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,128,1000000000,16,20,No,0.010056166199141943,0.759631621778049,2,11,0.104993649,2.9053033253745082e-05,0.10498429177024148,2.8426824087606777e-05,9525234519.73657
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,128,1000000000,32,20,No,0.01011143083395501,0.7943383544225577,2,11,0.10500038581818184,1.6900549499178236e-05,0.10499052914706142,1.5298398576694888e-05,9524668635.580345
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,128,1000000000,64,20,No,0.024804029594822544,0.5695276914076403,2,11,0.10570989127272727,3.195993084895261e-05,0.10570055250688032,2.5055476708267834e-05,9460688485.378613
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,128,1000000000,128,20,No,0.07775019315136832,0.2839642050399835,2,11,0.10591059645454544,0.0008992859187759775,0.10590014579079368,0.000897367425216529,9442857632.845053
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,128,1000000000,256,20,No,0.12368490054887722,0.18669532311639025,2,11,0.10597798490909092,1.6772901430273265e-05,0.10596727197820491,1.3067844790113234e-05,9436875946.053207
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,128,1000000000,512,20,No,0.1554915649321821,0.18791619213060298,2,11,0.10604811427272728,1.9321625202834853e-05,0.1060377037741921,1.993951472563453e-05,9430607834.827372
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,128,1000000000,1024,20,No,0.18109170357734952,0.23432441998944353,2,11,0.10612128890909092,4.418346781445627e-05,0.10611055894331499,4.54996313868438e-05,9424132809.763136
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,128,1000000000,2048,20,No,0.19497738078814308,0.24831575466384617,2,11,0.10620151963636366,0.0008921804878043374,0.10619076746160334,0.0008912409742521113,9417014528.70262
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,256,1000000000,1,1,No,0.021471114784958584,0.7463628943544117,2,11,0.048980915363636364,3.829019616233373e-05,0.04897198833118785,4.099417886689799e-05,20419836606.126717
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,256,1000000000,2,1,No,0.02148162267936675,0.7660240082113543,2,11,0.04897141472727273,1.853715110205248e-05,0.0489625656821511,2.0568008675331602e-05,20423766321.635834
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,256,1000000000,4,1,No,0.021464214449807343,0.792624380411072,2,11,0.048964300363636366,3.978036659684192e-05,0.04895556397871537,4.728835370200367e-05,20426687361.517773
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,256,1000000000,8,1,No,0.021428787517458775,0.8414049567253598,2,11,0.04896639681818182,3.8967345484638234e-05,0.048957218516956676,4.144649637529218e-05,20425997029.501236
