Benchmark,Device,Device Name,Key,Word,BlockBits,NumInputs,FilterSizeMB,PatternBitsPerWord,Skipped,FalsePositiveRate,PatternBits,HBWPeak,L2HitRate,Samples,Samples,CPU Time (sec),Noise,GPU Time (sec),Noise,Elem/s (elem/sec)
bloom_filter_retrieve_u32,0,NVIDIA B200,U64,U32,32,1000000000,1,1,No,1,1,0.06491648482126695,0.708171797551216,2,28,0.018181332750000005,0.0001123666351607904,0.018173922198159352,9.680755326035518e-05,55023895727.98323
bloom_filter_retrieve_u32,0,NVIDIA B200,U64,U32,32,1000000000,2,1,No,1,1,0.0644004017651504,0.7134605763485766,2,28,0.018322041321428572,6.040412317805919e-05,0.018315377303532193,6.092690054508051e-05,54598929818.77834
bloom_filter_retrieve_u32,0,NVIDIA B200,U64,U32,32,1000000000,4,1,No,0.999999087,1,0.06419614298210752,0.715989807965902,2,28,0.01838588835714286,8.498655718801293e-05,0.018379100527082172,8.231465643575929e-05,54409626767.45084
bloom_filter_retrieve_u32,0,NVIDIA B200,U64,U32,32,1000000000,8,1,No,0.999999536,1,0.06413463235461624,0.7171355124784904,2,28,0.01842741092857143,0.003269368997691224,0.01842052459716797,0.003262483075503654,54287270415.40083
bloom_filter_retrieve_u32,0,NVIDIA B200,U64,U32,32,1000000000,16,1,No,1,1,0.06414990514908826,0.7173830471511228,2,28,0.018428272714285713,6.997018768025249e-05,0.018421226228986464,5.876230922999735e-05,54285202709.60377
bloom_filter_retrieve_u32,0,NVIDIA B200,U64,U32,32,1000000000,32,1,No,0.999999876,1,0.06447067206321966,0.7168695060545555,2,28,0.01844832082142858,0.00024391728767915777,0.018441259656633652,0.000236863291649424,54226230670.76018
bloom_filter_retrieve_u32,0,NVIDIA B200,U64,U32,32,1000000000,64,1,No,0.999999882,1,0.1471751485806818,0.5711339063728152,2,26,0.01941415103846154,6.0061911802029516e-05,0.01940733902270977,6.45974406640795e-05,51526899119.443214
bloom_filter_retrieve_u32,0,NVIDIA B200,U64,U32,32,1000000000,128,1,No,0.999999765,1,0.414504923598419,0.34023927407178095,2,25,0.02034325804,6.541877502917376e-05,0.020336042251586917,6.249522187966052e-05,49173776668.46484
bloom_filter_retrieve_u32,0,NVIDIA B200,U64,U32,32,1000000000,256,1,No,0.999999868,1,0.6095997438737873,0.23035375600230704,2,24,0.021050122125,0.00011250551541698751,0.021043296019236244,0.0001165665653785373,47521072701.057526
bloom_filter_retrieve_u32,0,NVIDIA B200,U64,U32,32,1000000000,512,1,No,0.999999877,1,0.6846369247408339,0.18607828452145977,2,23,0.022330261000000004,0.00011136701664668526,0.02232324484120244,0.00011797711675311908,44796354970.50504
bloom_filter_retrieve_u32,0,NVIDIA B200,U64,U32,32,1000000000,1024,1,No,1,1,0.704171709126576,0.16894167304316624,2,22,0.023513268545454546,0.00015443681397674778,0.023505396582863547,0.00011746328252285145,42543421740.39486
bloom_filter_retrieve_u32,0,NVIDIA B200,U64,U32,32,1000000000,2048,1,No,1,1,0.7101124062600926,0.16196490674884154,2,21,0.024224551380952385,9.776566864923658e-05,0.024216960089547296,9.9901033836199e-05,41293374407.94757
bloom_filter_retrieve_u32,0,NVIDIA B200,U64,U32,32,1000000000,1,20,No,0.005766369,20,0.03908966135384429,0.705168111093728,2,17,0.03020893735294118,0.00012725658478160716,0.030201153699089503,0.00011757717723770364,33111317864.32873
bloom_filter_retrieve_u32,0,NVIDIA B200,U64,U32,32,1000000000,2,20,No,0.005770788,20,0.03906184574127397,0.709849990189706,2,17,0.030236661588235302,4.571577863331896e-05,0.030229119805728687,4.905486681369091e-05,33080685326.818253
bloom_filter_retrieve_u32,0,NVIDIA B200,U64,U32,32,1000000000,4,20,No,0.005830745,20,0.03907124960087847,0.7120440903622195,2,17,0.0302491375882353,3.3206443552930645e-05,0.0302415755776798,2.744857769016312e-05,33067060194.379005
