Benchmark,Device,Device Name,Key,Word,BlockBits,NumInputs,FilterSizeMB,PatternBitsPerWord,Skipped,FalsePositiveRate,PatternBits,HBWPeak,L2HitRate,Samples,Samples,CPU Time (sec),Noise,GPU Time (sec),Noise,Elem/s (elem/sec)
bloom_filter_fpr,0,NVIDIA B200,U64,U32,32,1000000000,1024,1,No,1,1,0.7041947618578761,0.16895040430508923,2,22,0.02352774690909091,0.002948851720610221,0.023519867636940698,0.0029509702866081923,42517246076.222946
bloom_filter_fpr,0,NVIDIA B200,U64,U32,32,1000000000,1024,2,No,0.245526632,2,0.6926609694312447,0.1701104216934542,2,21,0.024706141000000004,0.020692822227340264,0.024698899677821573,0.020706284808714098,40487633580.61461
bloom_filter_fpr,0,NVIDIA B200,U64,U32,32,1000000000,1024,3,No,0.102376693,3,0.6826946988388175,0.1706368113282775,2,20,0.025437417650000006,0.02675110893989985,0.025429772853851323,0.02676434281908311,39323984753.90041
bloom_filter_fpr,0,NVIDIA B200,U64,U32,32,1000000000,1024,4,No,0.051175458,4,0.6749567725051056,0.1699399500258963,2,20,0.02577041855,0.024451998990037808,0.025762939453125,0.024455719557643328,38815446576.6406
bloom_filter_fpr,0,NVIDIA B200,U64,U32,32,1000000000,1024,5,No,0.029648699,5,0.6666229001306914,0.17048433590408055,2,20,0.026134591800000002,0.02934896864039286,0.026127011108398435,0.02936556384289296,38274565577.022835
bloom_filter_fpr,0,NVIDIA B200,U64,U32,32,1000000000,1024,6,No,0.019381928,6,0.6592085289877019,0.17046312680860787,2,19,0.026471897999999997,0.023736542988454273,0.026464538975765832,0.023743990832108264,37786413015.38342
bloom_filter_fpr,0,NVIDIA B200,U64,U32,32,1000000000,1024,7,No,0.013951872,7,0.6508326404706843,0.17035787344287223,2,19,0.02678493915789474,0.025782967588453103,0.02677721133985018,0.025798383924187696,37345188313.608574
bloom_filter_fpr,0,NVIDIA B200,U64,U32,32,1000000000,1024,8,No,0.01083756,8,0.6463792027426031,0.17020280340051616,2,19,0.026919838684210527,0.02468887024143837,0.026911833311382093,0.0246939585525562,37158375218.42333
bloom_filter_fpr,0,NVIDIA B200,U64,U32,32,1000000000,1024,9,No,0.008934994,9,0.6338134807790067,0.17014984584723825,2,19,0.027288863789473688,0.024679911976121436,0.027281163667377668,0.02468383876454671,36655327910.21603
bloom_filter_fpr,0,NVIDIA B200,U64,U32,32,1000000000,1024,10,No,0.007715802,10,0.6222579522255177,0.17023498446890772,2,19,0.027621735421052635,0.02318359016849473,0.027613613530209184,0.02318838500118955,36214021714.54323
bloom_filter_fpr,0,NVIDIA B200,U64,U32,32,1000000000,1024,11,No,0.006920174,11,0.6080398317706092,0.17004715563533682,2,18,0.028064903666666672,0.021925101430738125,0.028056970702277282,0.021931874467069495,35641766554.60647
bloom_filter_fpr,0,NVIDIA B200,U64,U32,32,1000000000,1024,12,No,0.006385854,12,0.6073776973221214,0.16994309458551235,2,18,0.028153291722222227,0.021476595416540654,0.028145189391242127,0.021479870162536108,35530050485.68505
bloom_filter_fpr,0,NVIDIA B200,U64,U32,32,1000000000,1024,13,No,0.006035039,13,0.5845734697902225,0.1694476914457509,2,18,0.028779112055555556,0.017977515027914052,0.02877136188083225,0.01798315540871867,34756783642.77255
bloom_filter_fpr,0,NVIDIA B200,U64,U32,32,1000000000,1024,14,No,0.005807857,14,0.5672420727300047,0.16908501407258178,2,18,0.029417180222222235,0.012065707719470206,0.029409041722615565,0.012080703855555198,34003148060.10832
bloom_filter_fpr,0,NVIDIA B200,U64,U32,32,1000000000,1024,15,No,0.005677313,15,0.5513850867715635,0.16874700939846032,2,17,0.030096969,0.0033253295495576066,0.030089024263269752,0.0033271326418899336,33234710147.13891
bloom_filter_fpr,0,NVIDIA B200,U64,U32,32,1000000000,1024,16,No,0.005614848,16,0.5526395619930765,0.16873266152076674,2,17,0.03008546211764706,0.0057484624157911005,0.030077063616584333,0.005748502625322134,33247926484.705284
